Category,Name,Organization,Data Format,Update Frequency,Description,API
Social Welfare,List of Non-Governmental Organisation - Family Support Networking Teams (NGO-FSNTs),Social Welfare Department,CSV,As necessary,"List of Non-Governmental Organisation - Family Support Networking Teams (NGO-FSNTs)

The dataset provides information of name of agency/ service unit, serving districts, address, telephone number and name of attachment unit. ...",N
Transport,Monthly Traffic and Transport Digest,Transport Department,XLS,Monthly,"Monthly Traffic and Transport Digest 

Symbols, Rounding of Figures and Abbreviations:[http://www.td.gov.hk/datagovhk/mttd/symbols.pdf](http://www.td.gov.hk/datagovhk/mttd/symbols.pdf)",N
Miscellaneous,Tar and Nicotine Reports,Government Laboratory,CSV,Yearly,Government Laboratory Tar and Nicotine Reports,Y
Miscellaneous,Scientific Publications by Staff,Government Laboratory,JSON,Yearly,Scientific Publications by Staff of the Government Laboratory,N
Transport,Traffic snapshot images,Transport Department,CSV/JPG/XML,Every 2 minutes,"The traffic snapshot images are captured by the closed circuit televisions (CCTV) installed at 183 locations of major roads in Hong Kong for you to visualise the latest traffic conditions.

Response format:
Method 1:
JPEG (image size 320 x...",Y
Miscellaneous,List of GovHK Notifications,Office of the Government Chief Information Officer,JSON,As and when necessary,"List of information and alert notifications from various bureaux/departments disseminated through the one-stop platform of ""GovHK Notifications"".",Y
Transport,No. of NOTAM processed,Civil Aviation Department,CSV,Monthly,No. of NOTAM processed,Y
Population,2014-based Territorial Population and Employment Data Matrix (Generalised Version),Planning Department,XLS,Every two to three years,"GENERAL NOTES :

The Territorial Population and Employment Data Matrix (TPEDM) is compiled by the Planning Department (PlanD) and updated regularly in about every two to three years to tie in with the updated population projections. The 2014-based...",N
Social Welfare,List of Neighbourhood Level Community Development Projects,Social Welfare Department,CSV,As necessary,"List of Neighbourhood Level Community Development Projects

The dataset provides information of name of agency/centre, address, telephone number, fax number and email.

https://www.swd.gov.hk/en/index/site_pubsvc/page_comm/sub_commdevser/id_neighbourh/",N
Miscellaneous,Thematic Household Survey,Census and Statistics Department,XLS,Ad hoc,Thematic Household Survey,N
Recreation and Culture,List of EventHK information,Office of the Government Chief Information Officer,JSON,As and when necessary,List of events from various bureaux/departments and organisations disseminated through the one-stop platform of EventHK.,Y
Social Welfare,List of NGOs receiving respective subvention allocations for 2017-18,Social Welfare Department,CSV,Annually,"List of NGOs receiving respective subvention allocations for 2017-18

Information Including: No., Subvention Mode, NGO Code, NGO Name, Allocation 2016-17, Allocation 2017-18

Grand total for 170 NGOs (2017-18) 13,530,747,973
Add: PF adjustments...",N
Transport,"MTR routes, fares and barrier-free facilities",MTR Corporation Limited,CSV,Monthly,"You will download data for MTR routes, fares and barrier-free facilities in CSV format. Please refer to the data dictationary for more information about the content.

Terms of Use: ...",Y
Social Welfare,List of Integrated Children and Youth Services Centres,Social Welfare Department,CSV,As necessary,"List of Integrated Children and Youth Services Centres

The dataset provides information of name of agency/ centre, serving district, address, telephone number, fax number and email....",N
Employment and Labour,General Household Survey,Census and Statistics Department,XML,Quarterly,General Household Survey,N
Social Welfare,List of Counselling Centre for Psychotropic Substance Abusers,Social Welfare Department,CSV,As necessary,"List of Counselling Centres for Psychotropic Substance Abusers

The dataset provides information of name of agency/ centre, serving district, address, telephone number, fax number, email and website. ...",N
Employment and Labour,Feature Articles on Employment and Labour,Census and Statistics Department,XLS,Ad hoc,Feature Articles on Employment and Labour,N
Population,2016 Population By-census - District Profiles,Census and Statistics Department,XLSX,As and when necessary,"The summary results of the 2016 Population By-census for individual districts at different geographical levels (i.e. District Council districts, District Council Constituency Areas and Tertiary Planning Units) and for major housing estates",N
Miscellaneous,Voter Registration Statistics,Registration and Electoral Office,CSV/XLSX,As and when necessary,"Voter Registration Statistics  (Geographical Constituency, Functional Constituency, Election Committee Subsector)",Y
Recreation and Culture,Cultural Programmes,Leisure and Cultural Services Department,XML,Daily,Current and forthcoming cultural programmes information.,Y
Recreation and Culture,Cricket Ground (Natural Turf Pitch),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Cricket Ground (Natural Turf Pitch),N
Recreation and Culture,Cricket Ground (Artificial Turf Pitch),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Cricket Ground (Artificial Turf Pitch),N
Recreation and Culture,Cricket Ground (Free Outdoor Pitches/Courts),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Cricket Ground (Free Outdoor Pitches/Courts),N
Finance,Analysis of Salaries Tax Assessments by Income Group,Inland Revenue Department,XLS,Every 1 year,Analysis of Salaries Tax Assessments by Income Group,N
Employment and Labour,Employment and Vacancies,Census and Statistics Department,XLS/XML,Quarterly,Employment and Vacancies,N
Transport,Journey time indicators,Transport Department,XML,Every 2 minutes,"Average journey time for major roads in Hong Kong (including cross-harbour tunnels).

Request path: http://resource.data.one.gov.hk/td/journeytime.xml 

Parameters: No parameter required 

Note: 
HTTP status 301 or 302 may be returned. In this case,...",N
Finance,"Allowances, Deductions and Tax Rate Table of Salaries Tax / Personal Assessment",Inland Revenue Department,XLS,As and when necessary,"Allowances, Deductions and Tax Rate Table of Salaries Tax / Personal Assessment",N
Finance,Analysis of Allowances by Income Group,Inland Revenue Department,XLS,Every 1 year,Analysis of Allowances by Income Group,Y
Miscellaneous,Feature Articles,Census and Statistics Department,XLS,Ad hoc,Feature Articles,N
Transport,Junction Blacksite List,Transport Department,XLS,Quarterly,The tables below show the junction blacksite list.,N
Miscellaneous,Highlights of Press Releases,Census and Statistics Department,RSS,As and when necessary,Highlights of Press Releases,N
Transport,Hong Kong Tidal Stream Prediction,Marine Department,CSV,Daily,Provides 11 days tidal stream magnitude and direction prediction results in the waters of Hong Kong which includes the results of 8 days in advance of and 2 days before the current date.,N
Miscellaneous,Election Results,Registration and Electoral Office,XLS/XLSX,As and when necessary,Election Results,Y
Social Welfare,List of Community Support Service Scheme (CSSS),Social Welfare Department,CSV,As necessary,"List of Community Support Service Scheme (CSSS)

The dataset provides information of name of agency/ centre, serving district, address, telephone number, fax number, email and...",N
Social Welfare,List of Community Centres,Social Welfare Department,CSV,As necessary,"List of Communtiy Centres

The dataset provides information of name of agency/centre, address and telephone number.

https://www.swd.gov.hk/en/index/site_pubsvc/page_comm/sub_commdevser/id_commcenter2/",N
Miscellaneous,General Statistical Digests,Census and Statistics Department,XLS,Monthly/ Annual,General Statistical Digests,N
Population,2011 Population Census - District Profiles,Census and Statistics Department,XLSX,As and when necessary,"Fact sheets presenting the summary results of the 2011 Population Census for individual districts at different geographical levels (i.e. District Council districts, District Council Constituency Areas and Tertiary Planning Units) and for major housing estates",N
Social Welfare,List of Children and Youth Centres,Social Welfare Department,CSV,As necessary,"List of Children and Youth Centres

The dataset provides information of name of agency/ centre, serving district, address, telephone number, fax number and email. 

https://www.swd.gov.hk/en/index/site_pubsvc/page_young/sub_centreserv/id_childrenan/",N
Recreation and Culture,Basketball Courts (Free Outdoor Pitches/Courts),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Basketball Courts (Free Outdoor Pitches/Courts),N
Finance,"Accessibility of Government premises, facilities and services",Government Property Agency,XLSX,As and when necessary,"Accessibility of Government premises, facilities and services",Y
Transport,Hong Kong Shipping Statistics,Census and Statistics Department,XLS/XML,Quarterly,Hong Kong Shipping Statistics,N
Transport,Feature Articles on Transport,Census and Statistics Department,XLS,Ad hoc,Feature Articles on Transport,N
Population,2011 Population Census - Main Tables,Census and Statistics Department,XLSX,As and when necessary,A set of statistical tables presenting the results of the 2011 Population Census on various data topics,Y
Transport,Electric vehicle charging station locations,CLP Power Hong Kong Limited,XML,As and when necessary,"This API (in XML format) provides location data (including GPS data, address, etc.) of electric vehicle charging stations in Hong Kong. Please refer to the data dictionary for detail.",Y
Transport,Distribution of metered parking spaces at different districts in Hong Kong,Transport Department,XLSX,Twice per year,The tables below show the distribution of metered parking spaces at different districts in Hong Kong.,Y
Recreation and Culture,Beach Volleyball Courts,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Beach Volleyball Courts,N
Miscellaneous,Details of GovHK Notifications,Office of the Government Chief Information Officer,JSON,As and when necessary,"Detailed information and alert notifications from various bureaux/departments disseminated through the one-stop platform of ""GovHK Notifications"".",Y
Social Welfare,List of Centres for Drug Counselling,Social Welfare Department,CSV,As necessary,"List of Centres for Drug Counselling 

The dataset provides information of name of agency/ centre, address, telephone number., fax number, email and website.  

https://www.swd.gov.hk/en/index/site_pubsvc/page_young/sub_serdrugabuser/id_587/",N
Recreation and Culture,Community Recreation and Sports Programmes,Leisure and Cultural Services Department,JSON,Daily,Information on leisure activities to be held one and a half months later uploaded on the 15th of each month (e.g. information on activities in July will be made available on 15 May).,N
Social Welfare,List of Care and Support Networking Team,Social Welfare Department,CSV,As necessary,"List of Care and Support Networking Team

The dataset provides information of name of agency/centre, address, telephone number, fax number and email.

https://www.swd.gov.hk/en/index/site_pubsvc/page_comm/sub_commdevser/id_careandsup/",N
Recreation and Culture,Badmintion Courts (Free Outdoor Pitches/Courts),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Badmintion Courts (Free Outdoor Pitches/Courts),N
Recreation and Culture,Archery Ranges,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Archery Ranges,N
Social Welfare,Hotline Service for Youth at Risk,Social Welfare Department,CSV,As necessary,"Hotline Service for Youth at Risk

The dataset provides information of name of agency/ centre, serving district, address, telephone number, fax number, email and website.  

https://www.swd.gov.hk/en/index/site_pubsvc/page_young/sub_seryouthrisk/id_hotlineser/",N
Recreation and Culture,Barbecue Sites,Leisure and Cultural Services Department,JSON,As and when necessary,Location of Barbecue Sites,N
Social Welfare,List of Agencies providing Services for Young Night Drifters,Social Welfare Department,CSV,As necessary,"List of Agencies providing Services for Young Night Drifters

The dataset provides information of name of agency/centre, serving district, address, telephone number, fax number and email. ...",N
Social Welfare,Geo-referenced data of Social Services Units,Social Welfare Department,CSV,Social Welfare Department:  once a year,Geo-referenced data of  Social Welfare Services,N
Transport,Details of HK Electric EV charging stations,"The Hongkong Electric Company, Limited",CSV,As and when necessary,"Provide the location data and service detail of HK Electric EV charging stations. The CSV file contains carpark name, district, addresse, level/ floor, parking bay no., service provided and GPS data of the charging station.",Y
Transport,Customs Statistics on Control Points Passenger Throughput,Customs and Excise Department,XLSX,Annually,Statistics on passenger throughput at different control points of the Customs and Excise Department,N
Transport,Customs Statistics on Land Boundary Control Points Vehicular Throughput,Customs and Excise Department,XLSX,Annually,Statistics on vehicular throughput at different land boundary control points of the Customs and Excise Department,N
Recreation and Culture,A Catalogue of Books Printed in Hong Kong,Leisure and Cultural Services Department,XLS,Quarterly,A Catalogue of Books Printed in Hong Kong,N
Social Welfare,Basic Information and Service Quality Information of Residential Care Homes for the Elderly,Social Welfare Department,XML,Daily,Basic Information and Service Quality Information of Residential Care Homes for the Elderly,N
Commerce and Industry,Estimated power consumption for general office appliances,"The Hongkong Electric Company, Limited",CSV,As and when necessary,Provide the estimated power consumption for general office appliances. The CSV file contains the appliance name and estimated power consumption.,Y
Health,Flu Express's figures data,Department of Health,XLSX,Weekly,"Influenza surveillance data including sentinel surveillance, laboratory surveillance, influenza-like illness outbreak, hospital surveillance and severe influenza case during influenza season",N
Social Welfare,Feature Articles on Social Welfare,Census and Statistics Department,XLS,Ad hoc,Feature Articles on Social Welfare,N
Commerce and Industry,Employment and Value added of the Four Key Industries and Other Selected Industries,Census and Statistics Department,XLS,Ad hoc,Employment and Value added of the Four Key Industries and Other Selected Industries,N
Commerce and Industry,Number of Registrations/Grants in force in Hong Kong,Intellectual Property Department,CSV,Monthly,Number of Registrations/Grants in force in Hong Kong,Y
Commerce and Industry,Merchandise Trade Statistics Classification,Census and Statistics Department,XLS,Ad hoc,Merchandise Trade Statistics Classification,N
Transport,Cross-boundary Travel Survey 2015,Planning Department,XLS,About every two years,"The survey report Northbound Southbound 2015  presents the findings of the Cross-boundary Travel Survey 2015, whilst the tables contain detailed statistics of the 2015 and previous rounds of the Surveys.",N
Commerce and Industry,Interactive Data Dissemination Service for Trade Statistics,Census and Statistics Department,XLS,Monthly,Interactive Data Dissemination Service for Trade Statistics,N
Commerce and Industry,Merchandise Trade Statistics,Census and Statistics Department,XLS,Monthly,Merchandise Trade Statistics,N
Commerce and Industry,List of Radio Dealer (Unrestricted) Licensees,Office of the Communications Authority,XLSX,Monthly,List of Radio Dealer (Unrestricted) Licensees,Y
Health,Lists of licensed Chinese medicines traders,Department of Health,XLSX/XML,As and when necessary,"Lists showing company name, licence number, company address, etc of licensed traders in Retailers & Wholesalers of Chinese herbal medicines, and Manufacturers & Wholesalers of proprietary Chinese medicnes.",Y
Commerce and Industry,List of Registered Newspapers and Periodicals,"Office for Film, Newspaper and Article Administration",XLS,Bi-Weekly,List of Registered Newspapers and Periodicals,Y
Commerce and Industry,Feature Articles on Commerce and Industry,Census and Statistics Department,CSV/XLS,Ad hoc,Feature Articles on Commerce and Industry,N
Commerce and Industry,Ranking of Selected Economies in the World Merchandise Trade,Census and Statistics Department,XLS,Half-yearly,Ranking of Selected Economies in the World Merchandise Trade,N
Commerce and Industry,Merchandise Trade Index Numbers,Census and Statistics Department,XLS/XML,Monthly,Merchandise Trade Index Numbers,N
Commerce and Industry,Registered Gas Contractors employing Registered Gas Installers of different classes of Gas Installation Work,Electrical and Mechanical Services Department,XLSX,Monthly,Lists of registered gas contractors under the Gas Safety (Registration of Gas Installers and Gas Contractors) Regulations,Y
Commerce and Industry,Registered Gas Installers,Electrical and Mechanical Services Department,XLSX,Monthly,Lists of registered gas installers under the Gas Safety (Registration of Gas Installers and Gas Contractors) Regulations,Y
Commerce and Industry,Registered Escalator Workers,Electrical and Mechanical Services Department,XLSX,As necessary,List of registered escalator workers,Y
Commerce and Industry,Registered Examiners of Builders' Lifts and Tower Working Platforms,Electrical and Mechanical Services Department,XLSX,Quarterly,Lists of registered examiners / contractors under the Builders' Lifts and Tower Working Platforms (Safety) Ordinance,Y
Health,Lists of Clinics / Centres of the Department of Health,Department of Health,XLSX,As and when necessary,Lists of Clinics / Centres of the Department of Health,Y
Commerce and Industry,Key Statistics on Business Performance and Operating Characteristics of the Industrial Sector,Census and Statistics Department,XLS/XML,Annual,Key Statistics on Business Performance and Operating Characteristics of the Industrial Sector,N
Population,2016 Population By-census - Main Tables (English),Census and Statistics Department,XLSX,As and when necessary,A set of statistical tables presenting the results of the 2016 Population By-census on various data topics,Y
Health,"Sentinel surveillance  hand, foot and mouth disease data in General Out-patient Clinics / General Practitioners Sentinel Surveillance weekly report",Department of Health,XLSX,Weekly,"This weekly update outlines the data provided by General Out-patient Clinics / General Practitioners participating in the sentinel surveillance of hand, foot and mouth disease.",N
Population,2001 Population Census - Main Tables,Census and Statistics Department,CSV/XLS,As and when necessary,A set of statistical tables presenting the results of the 2001 Population Census on various data topics,N
Health,Sentinel surveillance  acute conjunctivitis data in General Out-patient Clinics / General Practitioners Sentinel Surveillance weekly report,Department of Health,XLSX,Weekly,This weekly update outlines the data provided by General Out-patient Clinics / General Practitioners participating in the sentinel surveillance of acute conjunctivitis.,N
Health,Sentinel surveillance  acute diarrhoeal diseases data in General Out-patient Clinics / General Practitioners Sentinel Surveillance monthly report,Department of Health,XLSX,Monthly,This monthly update outlines the data provided by General Out-patient Clinics / General Practitioners participating in the sentinel surveillance of acute diarrhoeal diseases.,N
Commerce and Industry,Registered Escalator Contractors,Electrical and Mechanical Services Department,XLSX,As necessary,List of registered escalator contractors,Y
Commerce and Industry,Registered Escalator Engineers,Electrical and Mechanical Services Department,XLSX,As necessary,List of registered escalator engineers,Y
Health,Sentinel surveillance  acute diarrhoeal diseases data in General Out-patient Clinics / General Practitioners Sentinel Surveillance weekly report,Department of Health,XLSX,Weekly,This weekly update outlines the data provided by General Out-patient Clinics / General Practitioners participating in the sentinel surveillance of acute diarrhoeal diseases.,N
Health,Number of screened babies with glucose-6-phosphate dehydrogenase deficiency,Department of Health,CSV/XLSX,Yearly,"1. Number of screened babies (male) with glucose-6-phosphate dehydrogenase deficiency from 1984 to 2016
2. Number of screened babies (female) with glucose-6-phosphate dehydrogenase deficiency from 1984 to 2016",Y
Health,Sentinel surveillance  acute conjunctivitis data in General Out-patient Clinics / General Practitioners Sentinel Surveillance monthly report,Department of Health,XLSX,Monthly,This monthly update outlines the data provided by General Out-patient Clinics / General Practitioners participating in the sentinel surveillance of acute conjunctivitis.,N
Health,Official estimates on immunisation coverage of infants born,Department of Health,CSV,As and when necessary,Official Estimates on Immunisation Coverage of Infants,N
Health,Number of Private Hospitals,Department of Health,XLSX,As and when necessary,Number of Private Hospitals,N
Health,Number of screened babies with congenital hypothyroidism,Department of Health,CSV/XLSX,Yearly,Number of screened babies with congenital hypothyroidism from 1984 to 2016,Y
Health,Number of Nursing Homes,Department of Health,XLSX,As and when necessary,Number of Nursing Homes,N
Health,Number of babies birth at public hospitals and maternity homes screened with congenital hypothyroidism,Department of Health,CSV/XLSX,Yearly,Number of babies birth at public hospitals and maternity homes screened with congenital hypothyroidism from 1984 to 2016,Y
Health,Number of Registered Healthcare Professionals,Department of Health,XLSX,As and when necessary,Number of Registered Healthcare Professionals,N
Health,Number of Hospitals under Correctional Institutions,Department of Health,XLSX,As and when necessary,Number of Hospitals under Correctional Institutions,N
Health,Tuberculosis death (all forms) and death rate by age group and sex,Department of Health,CSV,Yearly,Tuberculosis death (all forms) and death rate by age group and sex,N
Health,Tuberculosis notifications (all forms) and rate by age group and sex,Department of Health,CSV,Yearly,Tuberculosis notifications (all forms) and rate by age group and sex,N
Health,Summary on causative agents for Food poisoning outbreaks,Department of Health,XLSX,Quarterly,Food poisoning surveillance data including the number of food poisoning outbreaks caused by different groups of causative agents and the number of persons affected,N
Health,Statistics on Dengue fever,Department of Health,XLSX,Monthly,"Dengue fever surveillance data including the number of imported cases, local cases and unclassified cases.",Y
Health,Statistics on Breastfeeding,Department of Health,XLSX,Biannually or as and when necessary,Statistics on Breastfeeding from 2006-2016,N
Commerce and Industry,"Statistics of Trade Marks, Patents, Designs and Copyright Licensing Bodies - applications and registrations/grants",Intellectual Property Department,CSV,Monthly,"Statistics of Trade Marks, Patents, Designs and Copyright Licensing Bodies - applications and registrations/grants",Y
Commerce and Industry,Statistics on Satellite Master Antenna Television (SMATV),Office of the Communications Authority,XLSX,Monthly,Statistics on Satellite Master Antenna Television (SMATV),Y
Commerce and Industry,Statistics of Trade Marks Registrations (by Country of Origin/Region of Owners),Intellectual Property Department,CSV,Yearly,Statistics of Trade Marks Registrations (by Country of Origin/Region of Owners),Y
Health,Number of babies birth at public hospitals and maternity homes screened with glucose-6-phosphate dehydrogenase (G6PD) deficiency,Department of Health,CSV/XLSX,Yearly,Number of babies birth at public hospitals and maternity homes screened with glucose-6-phosphate dehydrogenase (G6PD) deficiency,Y
Commerce and Industry,Statistics of Trade Marks Applications (by Country of Origin/Region of Applicants),Intellectual Property Department,CSV,Yearly,Statistics of Trade Marks Applications (by Country of Origin/Region of Applicants),Y
Health,Typing Results,Department of Health,CSV,Quarterly,"The following data is updated on a quarterly basis.  Please visit the website of the Centre of Health Protection, Department of Health, for the latest data.",N
Health,Number of notifiable infectious diseases by month,Department of Health,XLSX,Monthly,Number of notifiable infectious diseases by month,Y
Health,"Weekly number of hospital admission episodes of hand, foot and mouth disease (HFMD) reported by Hospital Authority",Department of Health,XLSX,Weekly,"Weekly number of hospital admission episodes of hand, foot and mouth disease (HFMD) reported by Hospital Authority",N
Commerce and Industry,Statistics of Designs Applied For (by Country of Origin/Region of Applicants),Intellectual Property Department,CSV,Yearly,Statistics of Designs Applied For (by Country of Origin/Region of Applicants),Y
Commerce and Industry,Visitor statistics,Census and Statistics Department,XLS,Monthly/ Annual,Visitor statistics,N
Commerce and Industry,Statistics of Designs Registered (by Country of Origin/Region of Proprietors),Intellectual Property Department,CSV,Yearly,Statistics of Designs Registered (by Country of Origin/Region of Proprietors),Y
Commerce and Industry,Value and Proportion of Trade Involving Outward Processing in the Mainland of China,Census and Statistics Department,XLS,Quarterly,Value and Proportion of Trade Involving Outward Processing in the Mainland of China,N
Commerce and Industry,Strategic Commodities Control - Free eMail Notification Services,Trade and Industry Department,XML,As and when necessary,Information related to the Strategic Commodities Control of Trade and Industry Department would be delivered through the Free eMail Notification Services.,N
Commerce and Industry,Statistical Digest of the Services Sector,Census and Statistics Department,XLS,Quarterly/ Annual,Statistical Digest of the Services Sector,N
Commerce and Industry,Retail Sales,Census and Statistics Department,XLS/XML,Monthly,Retail Sales,N
Commerce and Industry,Restaurant Receipts and Purchases,Census and Statistics Department,XLS/XML,Quarterly,Restaurant Receipts and Purchases,N
Commerce and Industry,Registers of Personnel on Gas - Competent Persons (Class 3),Electrical and Mechanical Services Department,XLSX,As necessary,Lists of competent persons under the Code of Practice for Hong Kong LPG Industry / Gas Safety (Gasholders Examination) Regulation (Gasholders Examination) Regulation,Y
Commerce and Industry,Registers of Personnel on Gas - Competent Persons (Class 2),Electrical and Mechanical Services Department,XLSX,As necessary,Lists of competent persons under the Code of Practice for Hong Kong LPG Industry / Gas Safety (Gasholders Examination) Regulation (Gasholders Examination) Regulation,Y
Commerce and Industry,Registers of Personnel on Gas - Competent Persons (Class 1a & 1b),Electrical and Mechanical Services Department,XLSX,As necessary,Lists of competent persons under the Code of Practice for Hong Kong LPG Industry / Gas Safety (Gasholders Examination) Regulation (Gasholders Examination) Regulation,Y
Commerce and Industry,Registered Vehicle Mechanics,Electrical and Mechanical Services Department,XLSX,"Monthly - Registered Vehicle Mechanics
",List of registered vehicle mechanics and list of competent persons qualified in servicing LPG vehicle,Y
Commerce and Industry,Registered Lift Workers,Electrical and Mechanical Services Department,XLSX,As necessary,List of registered lift workers,Y
Commerce and Industry,Statistics of Standard Patent Applications Filed (by Country of Origin/Region of Applicants),Intellectual Property Department,CSV,Yearly,Statistics of Standard Patent Applications Filed (by Country of Origin/Region of Applicants),Y
Commerce and Industry,Statistics of Standard Patents Granted (by Country of Origin/Region of Proprietors),Intellectual Property Department,CSV,Yearly,Statistics of Standard Patents Granted (by Country of Origin/Region of Proprietors),Y
Commerce and Industry,Statistics of Short-Term Patents Granted (by Country of Origin/Region of Proprietors),Intellectual Property Department,CSV,Yearly,Statistics of Short-Term Patents Granted (by Country of Origin/Region of Proprietors),Y
Commerce and Industry,Statistics of Short-Term Patent Applications Filed (by Country of Origin/Region of Applicants),Intellectual Property Department,CSV,Yearly,Statistics of Short-Term Patent Applications Filed (by Country of Origin/Region of Applicants),Y
Commerce and Industry,Registered Lift Engineers,Electrical and Mechanical Services Department,XLSX,As necessary,List of registered lift engineers,Y
Health,Sentinel surveillance infectious diseases data in Residential Care Homes for the Elderly (RCHE) weekly report,Department of Health,XLSX,Weekly,This weekly update outlines the data provided by Residential Care Homes for the Elderly  participating in the Sentinel Surveillance of Infectious Diseases.,N
Health,Serological Surveillance,Department of Health,CSV,Yearly or as and when necessary,"Serological Surveillance (Cytomegalovirus, Hepatitis A Virus, Measles Virus, Mumps Virus, Rubella Virus, Poliovirus and Varicella Zoster Virus)",N
Commerce and Industry,Registered Lift Contractors,Electrical and Mechanical Services Department,XLSX,As necessary,List of registered lift contractors,Y
Health,Sentinel surveillance infectious diseases data in Child Care Centres/Kindergarten (CCC/KG) weekly report,Department of Health,XLSX,Weekly,This weekly update outlines the data provided by Child Care Centres/Kindergartens participating in the Sentinel Surveillance of Infectious Diseases.,N
Health,Sentinel surveillance  influenza-like illness data in General Out-patient Clinics / General Practitioners Sentinel Surveillance monthly report,Department of Health,XLSX,Monthly,This monthly update outlines the data provided by General Out-patient Clinics / General Practitioners participating in the sentinel surveillance of influenza-like illness.,N
Health,Sentinel surveillance  influenza-like illness data in General Out-patient Clinics / General Practitioners Sentinel Surveillance weekly report,Department of Health,XLSX,Weekly,This weekly update outlines the data provided by General Out-patient Clinics / General Practitioners participating in the sentinel surveillance of influenza-like illness.,N
Health,No. of vaccines administered under Vaccination Subsidy Scheme (VSS),Department of Health,CSV,monthly,No. of seasonal influenza and pneumococcal vaccines administered under Vaccination Subsidy Scheme 2017/18,N
Health,No. of vaccines administered under Government Vaccination Programme (GVP),Department of Health,CSV,monthly,No. of seasonal influenza and pneumococcal vaccines administered under Government Vaccination Scheme 2017/18,N
Health,Major Health Related Statistics of Hong Kong,Food and Health Bureau,XLSX,Yearly or as and when necessary,Major health related statistics of Hong Kong,N
Commerce and Industry,Registered Electrical Contractors,Electrical and Mechanical Services Department,XLSX,As necessary,List of registered electrical contractors,Y
Commerce and Industry,Registered Contractors of Builders' Lifts and Tower Working Platforms,Electrical and Mechanical Services Department,XLSX,Quarterly,Lists of registered examiners / contractors under the Builders' Lifts and Tower Working Platforms (Safety) Ordinance,Y
Commerce and Industry,Register of Personnel on Amusement Rides,Electrical and Mechanical Services Department,XLSX,Quarterly,List of surveyors and qualified persons under the Amusement Rides (Safety) (Operation and Maintenance) Regulation,Y
Health,Sentinel surveillance infectious diseases data in Chinese Medicine Practitioner (CMP) weekly report,Department of Health,XLSX,Weekly,This weekly update outlines the data provided by Chinese Medicine Practitioners participating in the sentinel surveillance of infectious diseases.,N
Commerce and Industry,Producer Price Index for Industrial Sector,Census and Statistics Department,XLS/XML,Quarterly,Producer Price Index for Industrial Sector,N
Commerce and Industry,Registered Electrical Workers,Electrical and Mechanical Services Department,XLSX,As necessary,List of registered electrical workers,N
Health,Manpower Position - Number of Full-time Equivalent (FTE) Staff,Hospital Authority,JSON/XLSX,Annually,Manpower Position - Number of Full-time Equivalent (FTE) Staff,N
Commerce and Industry,Registered Energy Assessors,Electrical and Mechanical Services Department,XLSX,Weekly,List of registered energy assessors,Y
Health,Local Statistics on Injury among Youth,Department of Health,XLSX,As and when necessary,"Statistics on injury among youth (by sex, cause of injury, adoption of preventive measures)

(i) Proportion of youth aged 10 to 19 who had sustained injury in the 12 months before enumeration by gender, in 2008

(ii) Proportion of main cause in injury...",N
Commerce and Industry,Performance Rating of Registered Escalator Contractors,Electrical and Mechanical Services Department,XLSX,Quarterly,Performance rating in safety and service quality aspects of the registered lift and escalator contractors,Y
Health,Statistics on Cancer,Hospital Authority,JSON/XLSX,Yearly or as and when necessary,Statistics on Cancer,N
Commerce and Industry,Producer Price Indices of Selected Service Industries (2001=100),Census and Statistics Department,XLS,Quarterly,Producer Price Indices of Selected Service Industries (2001=100),N
Commerce and Industry,Orders-on-hand,Census and Statistics Department,XLS,Ad hoc,Orders-on-hand,N
Commerce and Industry,Operating characteristics of enterprises analysed by sector (only including enterprises with employees),Census and Statistics Department,XLS,Annual,Operating characteristics of enterprises analysed by sector (only including enterprises with employees),N
Health,Lists of Chinese medicine practitioners,Department of Health,XLSX/XML,As and when necessary,List of Registered Chinese Medicine Practitioners / List of Chinese Medicine Practitioners with Limited Registration / List of Listed Chinese Medicine Practitioners / Addresses of Listed Chinese Medicine Practitioners,Y
Health,List of holders of certificate for manufacturer (good manufacturing practice for proprietary Chinese medicines),Department of Health,XLSX/XML,As and when necessary,"List showing company name, certificate number, company address and address of manufacturing plant of Holders of Certificate for Manufacturer (Good Manufacturing Practice for Proprietary Chinese Medicines)",Y
Population,2006 Population By-census - Statistical Tables,Census and Statistics Department,XLS,As and when necessary,A set of statistical tables presenting the results of the 2006 Population By-census on various data topics,Y
Commerce and Industry,Performance Rating of Registered Lift Contractors,Electrical and Mechanical Services Department,XLSX,Quarterly,Performance rating in safety and service quality aspects of the registered lift and escalator contractors,Y
Health,List of approved hospitals/clinics under section 47A (3) of the Offences Against the Person Ordinance (Cap. 212),Department of Health,XLSX,As and when necessary,Section 47A (3) of the Offences Against the Person Ordinance (Cap. 212) provides that any treatment for the termination of pregnancy must be carried out in a hospital or clinic maintained by the Government or declared by the Director of Health by...,Y
